2016-08-13 11:15:54,679 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HibarnateProj1:HibarnateProj1:0.0.1-SNAPSHOT @ E:\Coaching\Java-Code\Hibarnate-Tut\HibarnateProj1\pom.xml.
2016-08-13 11:15:58,805 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 11:15:58,810 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Coaching\Java-Code\Hibarnate-Tut\HibarnateProj1\src\main\resources
2016-08-13 11:15:58,814 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 11:15:58,815 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Coaching\Java-Code\Hibarnate-Tut\HibarnateProj1\src\test\resources
2016-08-13 11:15:58,846 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /HibarnateProj1/src
2016-08-13 11:15:58,847 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /HibarnateProj1/src/test/java because it overlaps with /HibarnateProj1/src
2016-08-13 11:15:59,064 [Worker-16] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-08-13 11:16:00,881 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HibarnateProj1:HibarnateProj1:0.0.1-SNAPSHOT @ E:\Coaching\Java-Code\Hibarnate-Tut\HibarnateProj1\pom.xml.
2016-08-13 11:16:02,089 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 11:16:02,091 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Coaching\Java-Code\Hibarnate-Tut\HibarnateProj1\src\main\resources
2016-08-13 11:16:02,096 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-13 11:16:02,097 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Coaching\Java-Code\Hibarnate-Tut\HibarnateProj1\src\test\resources
2016-08-13 11:16:03,043 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /HibarnateProj1/src
2016-08-13 11:16:03,044 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /HibarnateProj1/src/test/java because it overlaps with /HibarnateProj1/src
2016-08-13 11:16:03,191 [Worker-16] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 4 sec
2016-08-13 11:16:04,054 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
